Carleton University,3.40,13.30,28.40,30.70,16.70,7.40,0.00,83.70,
University of Guelph,6.60,27.60,43.90,20.20,1.70,0.00,0.00,87.90,
Lakehead University,9.50,9.50,14.90,25.70,20.30,18.90,0.00,81.90,
Laurentian University,0.00,11.30,21.30,27.50,17.80,17.80,4.20,80.90,
McMaster University,10.10,55.40,33.90,0.00,0.00,0.00,0.00,90.80,
University of Ottawa,4.60,19.10,41.10,31.80,3.40,0.00,0.00,86.50,
Ontario Tech University,1.10,7.20,17.80,36.20,31.10,6.60,0.00,81.50,
Queen's University,24.10,59.80,14.90,1.20,0.00,0.00,0.00,92.30,
Ryerson University,2.90,18.60,51.40,27.10,0.00,0.00,0.00,86.90,
Toronto University,49.50,41.90,7.60,1.00,0.00,0.00,0.00,94.00,
University of Waterloo,43.40,46.40,10.20,0.00,0.00,0.00,0.00,93.70,
Western Main Campus,11.60,45.10,39.80,3.40,0.00,0.00,0.00,90.30,
University of Windsor,5.30,16.40,26.10,28.30,19.00,4.90,0.00,84.30,
York University,0.00,6.50,22.40,57.80,11.90,0.00,0.00,84.30,
